year,week,country_iso2,inflow_mwh
1991,1,AT,565228.1517235799
1991,2,AT,520088.0138734343
1991,3,AT,423447.97851819947
1991,4,AT,384373.117697231
1991,5,AT,365003.71612544777
1991,6,AT,354500.4640831737
1991,7,AT,354315.868125726
1991,8,AT,550062.2750217859
1991,9,AT,511834.3356376707
1991,10,AT,562703.7912190044
1991,11,AT,572483.1608477191
1991,12,AT,627445.6600335485
1991,13,AT,554271.4002061263
1991,14,AT,539047.2104242623
1991,15,AT,497529.8380006504
1991,16,AT,463456.06686798495
1991,17,AT,480304.54363459756
1991,18,AT,538367.9961009054
1991,19,AT,762022.1001363489
1991,20,AT,783234.7027878171
1991,21,AT,692949.814842414
1991,22,AT,738006.7700918766
1991,23,AT,863933.7448083104
1991,24,AT,1295692.333281395
1991,25,AT,1402215.5063251916
1991,26,AT,1277685.6677295694
1991,27,AT,1014485.7056929324
1991,28,AT,1201798.6248204047
1991,29,AT,1109928.8903236762
1991,30,AT,1275137.024020752
1991,31,AT,1443949.7259594104
1991,32,AT,986346.276917165
1991,33,AT,708372.2723602183
1991,34,AT,602729.2135055474
1991,35,AT,507847.89025981736
1991,36,AT,461214.9739575059
1991,37,AT,444333.7312227739
1991,38,AT,527405.0132500193
1991,39,AT,618908.3606428121
1991,40,AT,491987.6308629474
1991,41,AT,473351.2122415743
1991,42,AT,466241.24406925647
1991,43,AT,414140.0281914846
1991,44,AT,435371.07093540765
1991,45,AT,471131.1697857352
1991,46,AT,490693.99425808724
1991,47,AT,429386.0765360913
1991,48,AT,389356.9635296138
1991,49,AT,368526.718629647
1991,50,AT,407470.52235928667
1991,51,AT,710659.0001524787
1991,52,AT,483346.9213878245
1992,1,AT,459157.60320515884
1992,2,AT,399535.0723510763
1992,3,AT,365681.2400376996
1992,4,AT,349557.6392686246
1992,5,AT,387606.4633938609
1992,6,AT,452900.4035199105
1992,7,AT,454351.64601952804
1992,8,AT,404530.81974647543
1992,9,AT,462025.30881443946
1992,10,AT,496517.9666214934
1992,11,AT,622757.3465631801
1992,12,AT,788374.9762067529
1992,13,AT,645792.5971736261
1992,14,AT,656934.7902309127
1992,15,AT,599278.8010641714
1992,16,AT,686382.9047635813
1992,17,AT,1157451.7471186281
1992,18,AT,1086252.6878215605
1992,19,AT,1267260.7484625892
1992,20,AT,1183284.8709578575
1992,21,AT,1101711.7663958916
1992,22,AT,1096570.437704684
1992,23,AT,1051766.0127561376
1992,24,AT,1044954.6756410564
1992,25,AT,951323.5582744693
1992,26,AT,857854.5517538293
1992,27,AT,878810.2306446339
1992,28,AT,829349.3984424247
1992,29,AT,728906.2340678087
1992,30,AT,628056.8040428736
1992,31,AT,627284.6056521434
1992,32,AT,574013.9337306002
1992,33,AT,526137.4109821233
1992,34,AT,488332.5951102166
1992,35,AT,730062.0398989262
1992,36,AT,616851.9807144151
1992,37,AT,518814.0600655755
1992,38,AT,447415.2592174212
1992,39,AT,502531.48488487245
1992,40,AT,529378.2117772051
1992,41,AT,469537.67753880395
1992,42,AT,520319.01566925994
1992,43,AT,622744.5318654643
1992,44,AT,582913.0941788796
1992,45,AT,559621.526776634
1992,46,AT,587716.8925078771
1992,47,AT,878409.9447332738
1992,48,AT,851820.6747906134
1992,49,AT,828888.2510959095
1992,50,AT,671211.3883750634
1992,51,AT,553635.6380657307
1992,52,AT,471795.4401925518
1993,1,AT,475318.1734366238
1993,2,AT,583294.5193325204
1993,3,AT,467168.59947727714
1993,4,AT,506958.0117718113
1993,5,AT,431883.7278962698
1993,6,AT,400167.68853355985
1993,7,AT,379709.73681971297
1993,8,AT,375691.54459671676
1993,9,AT,355644.7982724807
1993,10,AT,371458.06090984464
1993,11,AT,645699.7702532527
1993,12,AT,763112.6646500711
1993,13,AT,565787.7862344955
1993,14,AT,558971.0252850461
1993,15,AT,542097.6466253059
1993,16,AT,684761.1682426123
1993,17,AT,832520.3980678082
1993,18,AT,808870.3474838756
1993,19,AT,792493.6076696087
1993,20,AT,807957.7286564477
1993,21,AT,860139.9594540414
1993,22,AT,901233.7629209976
1993,23,AT,902914.3898799212
1993,24,AT,830100.8183901424
1993,25,AT,912578.371910586
1993,26,AT,837474.1561692323
1993,27,AT,845654.022414214
1993,28,AT,984647.3395966054
1993,29,AT,1111039.4529528012
1993,30,AT,1095864.3074120109
1993,31,AT,992125.3892177203
1993,32,AT,826217.9358785069
1993,33,AT,656413.4209027468
1993,34,AT,892382.6234717434
1993,35,AT,852286.640057715
1993,36,AT,813381.7444928504
1993,37,AT,791773.7326133801
1993,38,AT,651744.0297232689
1993,39,AT,730641.0510438043
1993,40,AT,786389.0286196324
1993,41,AT,798239.2494559647
1993,42,AT,804037.5305714412
1993,43,AT,896460.930954494
1993,44,AT,682788.4816854383
1993,45,AT,631270.5062119637
1993,46,AT,582585.8897904971
1993,47,AT,494670.4388714219
1993,48,AT,454787.4150728607
1993,49,AT,496246.70953187114
1993,50,AT,542598.8715281218
1993,51,AT,748155.954877721
1993,52,AT,595026.7366249474
1994,1,AT,631915.7979971232
1994,2,AT,582781.32121945
1994,3,AT,504121.28914341825
1994,4,AT,575937.985850252
1994,5,AT,537605.0073665507
1994,6,AT,484115.3206453594
1994,7,AT,423433.69957380695
1994,8,AT,432904.91326449794
1994,9,AT,562681.6746736999
1994,10,AT,622063.3416000535
1994,11,AT,715795.528701301
1994,12,AT,741715.6701989854
1994,13,AT,788652.6719649758
1994,14,AT,723183.273466729
1994,15,AT,775106.3255504566
1994,16,AT,1020079.405095383
1994,17,AT,856814.7812926735
1994,18,AT,854159.6001191546
1994,19,AT,777034.0296431598
1994,20,AT,876544.1530725315
1994,21,AT,1015286.9753529916
1994,22,AT,999867.5047712974
1994,23,AT,1061267.0176392752
1994,24,AT,893945.4004829219
1994,25,AT,965461.965914314
1994,26,AT,856895.1330441021
1994,27,AT,865200.6922408617
1994,28,AT,718792.8366377929
1994,29,AT,675981.46959119
1994,30,AT,591274.4462035863
1994,31,AT,546295.256235015
1994,32,AT,607841.3590113712
1994,33,AT,624316.661070748
1994,34,AT,687227.1857628379
1994,35,AT,678924.3670782138
1994,36,AT,684826.8433910229
1994,37,AT,753818.2062659892
1994,38,AT,699715.2239331478
1994,39,AT,629541.2758517539
1994,40,AT,644621.7048521527
1994,41,AT,543598.2867133782
1994,42,AT,470474.46568665607
1994,43,AT,470025.5164923354
1994,44,AT,470201.59479792527
1994,45,AT,472660.1240909181
1994,46,AT,591123.0905255779
1994,47,AT,609429.4486576228
1994,48,AT,492314.2279913779
1994,49,AT,470807.6896459042
1994,50,AT,528441.1439833204
1994,51,AT,422557.25461786793
1994,52,AT,516972.8300772286
1995,1,AT,544223.5064253965
1995,2,AT,414475.36810855346
1995,3,AT,386917.9752103432
1995,4,AT,626049.6527027158
1995,5,AT,658329.4424501869
1995,6,AT,581422.2790689954
1995,7,AT,563878.0405360719
1995,8,AT,565815.6108656449
1995,9,AT,552089.0420583097
1995,10,AT,491639.3412995387
1995,11,AT,447209.1563616856
1995,12,AT,636793.4757308933
